,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
56,56,2022-01-27,818.599976,824.400024,803.0,813.799988,810.014038,4740612
57,57,2022-01-28,825.75,860.0,817.0,844.599976,840.670715,5541007
58,58,2022-01-31,855.0,880.950012,849.599976,868.0,863.961914,4650001
59,59,2022-02-01,894.599976,899.900024,848.599976,856.900024,852.913574,11012459
60,60,2022-02-02,863.0,868.0,857.0,860.900024,856.894958,2531086
61,61,2022-02-03,860.5,871.849976,857.0,860.650024,856.646118,2603770
62,62,2022-02-04,861.0,865.5,851.25,855.75,851.768921,2105561
63,63,2022-02-07,858.75,868.549988,830.0,835.599976,831.712646,4119747
64,64,2022-02-08,842.5,848.599976,821.5,838.049988,834.151245,3851680
65,65,2022-02-09,859.0,868.400024,845.099976,849.950012,845.995911,6791815
66,66,2022-02-10,855.0,855.150024,840.299988,845.900024,841.964783,2569073
67,67,2022-02-11,835.5,841.950012,825.0,830.75,826.885193,2582020
68,68,2022-02-14,819.5,819.950012,792.349976,798.349976,794.635925,4917765
69,69,2022-02-15,805.0,823.0,791.5,820.5,816.682922,4358562
70,70,2022-02-16,830.799988,838.0,820.200012,825.0,821.161987,2883449
71,71,2022-02-17,829.950012,834.0,820.0,821.849976,820.014526,2350333
72,72,2022-02-18,818.0,827.299988,813.049988,816.349976,814.526794,1905006
73,73,2022-02-21,810.0,816.0,796.0,803.400024,801.605774,3000870
74,74,2022-02-22,781.0,799.349976,780.0,789.599976,787.836548,4301060
75,75,2022-02-23,799.900024,819.0,795.0,814.349976,812.53125,4772916
76,76,2022-02-24,775.0,794.349976,735.0,738.049988,736.401672,10021435
77,77,2022-02-25,770.0,803.5,768.0,800.0,798.213318,7097351
78,78,2022-02-28,780.299988,812.0,780.200012,809.349976,807.542419,4654745
79,79,2022-03-02,795.0,815.799988,795.0,808.799988,806.993652,3010826
80,80,2022-03-03,822.0,822.0,796.849976,799.650024,797.864136,2962409
81,81,2022-03-04,780.0,780.200012,730.0,747.25,745.581177,15395743
82,82,2022-03-07,740.0,740.0,708.400024,718.0,716.396484,6257302
83,83,2022-03-08,718.0,728.950012,709.049988,718.049988,716.44635,4872109
84,84,2022-03-09,730.950012,738.599976,719.049988,735.049988,733.408386,4485413
85,85,2022-03-10,762.0,772.0,750.0,758.099976,756.406921,5542997
86,86,2022-03-11,754.299988,765.0,748.0,757.75,756.057678,2461743
87,87,2022-03-14,743.0,762.849976,738.549988,752.849976,751.16864,3574348
88,88,2022-03-15,759.0,769.900024,751.049988,756.400024,754.710754,3053279
