,Date,Open,High,Low,Close,Adj Close,Volume
329,2021-02-05,309.940002,313.600006,303.0,311.0,309.135742,15029430
330,2021-02-08,313.959991,325.799988,312.399994,323.73999,321.799377,24263805
331,2021-02-09,324.799988,337.779999,318.399994,328.350006,326.381744,26576235
332,2021-02-10,329.679993,334.799988,322.220001,323.679993,321.739716,15255270
333,2021-02-11,325.200012,327.390015,322.350006,323.799988,321.859009,5604990
334,2021-02-12,325.48999,353.540009,325.200012,346.380005,344.30368,36497695
335,2021-02-15,346.799988,349.0,336.399994,342.619995,340.566193,14605000
336,2021-02-16,343.600006,346.75,332.399994,334.829987,332.822906,8881850
337,2021-02-17,334.399994,346.0,331.399994,339.730011,337.693542,10460450
338,2021-02-18,337.209991,345.200012,337.209991,340.23999,338.2005,4680520
339,2021-02-19,340.589996,343.049988,331.190002,335.079987,333.071411,4986820
340,2021-02-22,335.0,335.0,319.600006,323.170013,321.232819,8588995
341,2021-02-23,322.98999,328.420013,318.559998,326.579987,324.622314,4687445
342,2021-02-24,327.600006,339.399994,326.019989,335.089996,333.081329,3235425
343,2021-02-25,337.0,347.950012,334.0,345.390015,343.319611,9537220
344,2021-02-26,339.0,361.98999,336.0,351.929993,349.820374,25638605
345,2021-03-01,357.589996,394.970001,355.109985,387.690002,385.366028,33081285
346,2021-03-02,394.100006,397.600006,374.01001,379.529999,377.254974,27796385
347,2021-03-03,379.799988,386.0,376.0,377.220001,374.958801,9159855
348,2021-03-04,377.0,403.160004,374.0,392.220001,389.868896,47960940
349,2021-03-05,393.98999,399.679993,379.200012,388.170013,385.84317,17979140
350,2021-03-08,392.0,405.399994,385.320007,403.089996,400.673706,20916905
351,2021-03-09,410.0,414.600006,403.0,405.339996,402.910217,23912320
352,2021-03-10,409.0,409.559998,401.399994,403.700012,401.28009,8479065
353,2021-03-12,406.0,412.73999,393.0,397.470001,395.087433,12514795
354,2021-03-15,401.290009,401.290009,383.0,389.410004,387.075745,10548415
355,2021-03-16,385.720001,387.940002,378.0,380.809998,378.527283,11025335
356,2021-03-17,381.0,383.890015,360.200012,364.799988,362.61322,11818755
357,2021-03-18,367.600006,372.0,348.0,353.329987,351.211975,18337275
358,2021-03-19,350.0,375.0,340.600006,371.089996,368.865509,24535040
359,2021-03-22,371.399994,375.799988,360.829987,367.609985,365.406372,11250950
360,2021-03-23,369.700012,372.200012,366.200012,368.429993,366.221466,6601325
361,2021-03-24,365.940002,367.359985,350.079987,352.109985,349.999298,10445515
362,2021-03-25,353.799988,353.799988,341.0,344.369995,342.305695,10838460
363,2021-03-26,350.0,354.0,343.660004,349.480011,347.385101,8880665
364,2021-03-30,348.079987,354.799988,348.079987,351.049988,348.945648,7365165
365,2021-03-31,351.73999,354.98999,347.0,351.399994,349.293579,5430005
366,2021-04-01,352.0,355.890015,350.0,350.350006,348.249878,4724735
367,2021-04-05,345.200012,347.589996,335.480011,340.529999,338.488739,8114150
368,2021-04-06,340.529999,343.799988,336.600006,337.709991,335.685608,5058525
369,2021-04-07,336.839996,344.279999,334.600006,341.799988,339.751129,7335430
370,2021-04-08,339.76001,347.839996,336.0,345.279999,343.210266,9702175
371,2021-04-09,346.0,350.73999,343.0,346.179993,344.104828,6254115
